type,x,y,down,up,left,right
wheel,0,0,0,0,0,0
plant,11,4,0,0,0,0
tap,11,3,0,0,0,0
pipe,0,3,1,0,1,0
pipe,0,4,1,1,0,0
pipe,1,0,1,0,0,1
pipe,1,1,0,1,1,0
pipe,1,2,0,0,1,1
pipe,1,3,1,0,1,0
pipe,1,4,0,0,1,1
pipe,2,0,1,0,1,0
pipe,2,3,1,1,0,0
pipe,2,4,0,1,0,1
pipe,3,0,0,0,1,1
pipe,3,1,1,1,0,0
pipe,3,3,1,1,0,0
pipe,4,0,0,1,1,0
pipe,4,1,1,1,0,0
pipe,4,2,0,0,1,1
pipe,4,3,1,0,0,1
pipe,4,4,0,1,0,1
pipe,5,0,1,1,0,0
pipe,5,1,0,0,1,1
pipe,5,3,0,1,0,1
pipe,5,4,0,1,0,1
pipe,6,0,1,1,0,0
pipe,6,1,0,0,1,1
pipe,6,3,1,0,0,1
pipe,6,4,0,1,1,0
pipe,7,0,1,0,0,1
pipe,7,1,0,0,1,1
pipe,7,2,0,0,1,1
pipe,7,3,1,1,0,0
pipe,7,4,1,0,1,0
pipe,8,0,1,1,0,0
pipe,8,1,1,0,1,0
pipe,8,2,0,0,1,1
pipe,8,3,0,0,1,1
pipe,8,4,1,0,0,1
pipe,9,0,1,0,0,1
pipe,9,1,1,1,0,0
pipe,9,3,1,1,0,0
pipe,10,0,1,0,1,0
pipe,10,1,0,1,0,1
pipe,10,2,0,0,1,1
pipe,10,3,1,0,1,0
pipe,10,4,0,1,1,0
pipe,11,1,1,0,1,0
pipe,11,2,0,1,1,0
